rmq-r10-dispatch-records-enqueue	357	rmq-r05-async-outbox,rmq-r06-job-dispatch-envelope,rmq-r08-dispatch-migration,orm-job-settle,orm-job-statements-enqueue,orm-job-statements-settle,orm-job-enqueue,orm-tables,orm-database-seam,orm-test-harness,fakes-queue-gates
rmq-r29-chart-broker-core	376	rmq-r01-queue-config,chart-operator-forgejo-p2
rmq-r11-dispatch-records-settle	358	split-358-1-fenced-claim,split-358-2-redispatching-settles,split-358-3-sweep-and-park
rmq-r12-queue-topology	359	rmq-r01-queue-config,split-351-1-amqp-contract,split-351-2-amqp-client,rmq-r06-job-dispatch-envelope
rmq-r15-gate-redispatch	362	orm-human-gate,rmq-r10-dispatch-records-enqueue,rmq-r08-dispatch-migration,fakes-queue-gates
rmq-r13-dispatch-relay	360	rmq-r01-queue-config,rmq-r05-async-outbox,rmq-r08-dispatch-migration,rmq-r10-dispatch-records-enqueue,split-358-1-fenced-claim,rmq-r12-queue-topology
rmq-r14-project-deliveries	361	rmq-r12-queue-topology
rmq-r16-rabbitmq-job-repository	363	rmq-r01-queue-config,rmq-r07-dispatch-miss-policy,split-358-1-fenced-claim,split-358-2-redispatching-settles,split-358-3-sweep-and-park,rmq-r13-dispatch-relay,rmq-r14-project-deliveries,rmq-r15-gate-redispatch,orm-cli-recover
rmq-r17-queue-backend-selection	364	rmq-r01-queue-config,rmq-r02-wakeup-composition,split-351-2-amqp-client,rmq-r13-dispatch-relay,rmq-r15-gate-redispatch,rmq-r16-rabbitmq-job-repository,orm-app-resources,orm-job-settle,orm-human-gate,fakes-job-wakeup
rmq-r18-queue-contract-suite	365	rmq-r17-queue-backend-selection,rmq-r09-reap-bound,rmq-r10-dispatch-records-enqueue,split-358-1-fenced-claim,split-358-2-redispatching-settles,split-358-3-sweep-and-park,rmq-r12-queue-topology,rmq-r13-dispatch-relay,rmq-r14-project-deliveries,rmq-r15-gate-redispatch,rmq-r16-rabbitmq-job-repository,fakes-queue-gates,orm-test-harness
rmq-r30-chart-loop-services	377	rmq-r29-chart-broker-core,rmq-r01-queue-config,loops-cli,loops-config-loop-services
rmq-r31-chart-keda-rabbitmq	378	rmq-r06-job-dispatch-envelope,rmq-r29-chart-broker-core
rmq-r33-install-and-doctor	380	split-380-1-loop-doctor,split-380-2-doctor-cli
rmq-r32-ci-rabbitmq	379	rmq-r18-queue-contract-suite,rmq-r29-chart-broker-core,rmq-r30-chart-loop-services,rmq-r31-chart-keda-rabbitmq,loops-router,loops-seat-host,loops-cli
rmq-r34-defaults-flip	381	rmq-r01-queue-config,rmq-r02-wakeup-composition,rmq-r03-amqp-dependency,split-351-1-amqp-contract,split-351-2-amqp-client,rmq-r05-async-outbox,rmq-r06-job-dispatch-envelope,rmq-r07-dispatch-miss-policy,rmq-r08-dispatch-migration,rmq-r09-reap-bound,rmq-r10-dispatch-records-enqueue,split-358-1-fenced-claim,split-358-2-redispatching-settles,split-358-3-sweep-and-park,rmq-r12-queue-topology,rmq-r13-dispatch-relay,rmq-r14-project-deliveries,rmq-r15-gate-redispatch,rmq-r16-rabbitmq-job-repository,rmq-r17-queue-backend-selection,rmq-r18-queue-contract-suite,split-367-1-run-dir,split-367-2-process-launcher,rmq-r29-chart-broker-core,rmq-r30-chart-loop-services,rmq-r31-chart-keda-rabbitmq,rmq-r32-ci-rabbitmq,split-380-1-loop-doctor,split-380-2-doctor-cli,loops-run-protocol,loops-route-store,loops-worktree-fence,loops-router,loops-seat-host,loops-residency,loops-control,loops-client,loops-adapter,loops-command-executor,loops-cli,loops-adapter-factory,loops-queue-depth,loops-invocation,installer-broker-cache,installer-cli,fakes-harness-decouple
